,share_name_index,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO
128,ADVM [NASD],USA,Biotechnology,353.57M,73.99,2.70M,38.20%,7.20%,3.9,51 to 200 Employees,2016,Less than $1 million (USD),84,88
131,ADXS [NASD],USA,Biotechnology,64.55M,-1,9.80M,-60.30%,0.00%,2.2,51 to 200 Employees,1996,$1 to $5 million (USD),11,100
132,AE [AMEX],USA,Oil & Gas Integrated,120.60M,-1,15.11K,843.50%,13.82%,3,501 to 1000 Employees,1973,$1 to $2 billion (USD),66,66
135,"AEE [NYSE, S&P 500]",USA,Utilities - Regulated Electric,21.00B,11.2,1.36M,4.50%,7.17%,4,5001 to 10000 Employees,1904,$5 to $10 billion (USD),90,99
137,AEG [NYSE],Netherlands,Insurance - Diversified,8.80B,-1,1.89M,78.20%,2.59%,3.6,10000+ Employees,1844,$10+ billion (USD),69,71
139,AEHR [NASD],USA,Semiconductor Equipment & Materials,56.53M,-1,366.13K,47.60%,62.50%,4.4,51 to 200 Employees,1996,$10 to $25 million (USD),100,100
141,AEIS [NASD],USA,Electrical Equipment & Parts,3.93B,-1,285.25K,139.00%,18.43%,3.7,1001 to 5000 Employees,1981,$500 million to $1 billion (USD),60,100
142,AEL [NYSE],USA,Insurance - Life,2.91B,25.84,537.27K,157.50%,70.00%,3.4,501 to 1000 Employees,1995,$2 to $5 billion (USD),63,100
143,AEM [NYSE],Canada,Gold,15.50B,15.9,1.26M,6.00%,12.20%,4,5001 to 10000 Employees,1957,$1 to $2 billion (USD),73,87
146,AEO [NYSE],USA,Apparel Retail,5.39B,22.83,3.91M,178.10%,8.02%,3.7,10000+ Employees,1977,$2 to $5 billion (USD),68,81
147,"AEP [NASD, S&P 500]",USA,Utilities - Regulated Electric,41.14B,19.45,2.88M,11.60%,6.65%,3.9,10000+ Employees,1906,$10+ billion (USD),78,93
148,AER [NYSE],Ireland,Airports & Air Services,6.97B,-1,1.12M,178.10%,31.99%,3,51 to 200 Employees,1996,$2 to $5 billion (USD),35,45
149,AERI [NASD],USA,Drug Manufacturers - Specialty & Generic,779.27M,-1,481.05K,9.20%,41.30%,3.3,1 to 50 Employees,1996,$10 to $25 million (USD),50,100
150,"AES [NYSE, S&P 500]",USA,Utilities - Diversified,16.43B,-1,5.57M,178.10%,8.25%,4.4,5001 to 10000 Employees,1981,$10+ billion (USD),95,98
156,AEYE [NASD],USA,Software - Application,183.35M,-1,118.50K,19.90%,140.50%,4,51 to 200 Employees,2005,$10 to $25 million (USD),73,68
157,AEZS [NASD],USA,Biotechnology,103.18M,-1,3.77M,-63.90%,0.00%,2,51 to 200 Employees,1996,$25 to $50 million (USD),0,100
162,AFG [NYSE],USA,Insurance - Property & Casualty,10.23B,-1,524.60K,178.10%,6.08%,4,5001 to 10000 Employees,1996,$5 to $10 billion (USD),78,96
163,AFI [NYSE],USA,Building Products & Equipment,125.44M,-1,172.04K,178.10%,0.00%,3.3,1001 to 5000 Employees,2016,$500 million to $1 billion (USD),47,100
164,AFIB [NASD],USA,Medical Devices,480.87M,8.15,302.38K,178.10%,22.60%,3.6,51 to 200 Employees,1996,$5 to $10 million (USD),76,100
169,"AFL [NYSE, S&P 500]",USA,Insurance - Life,35.37B,-1,3.12M,50.70%,13.57%,3.8,5001 to 10000 Employees,1955,$10+ billion (USD),75,96
172,AFRM [NASD],USA,Information Technology Services,16.93B,-1,2.78M,6.50%,53.80%,4.4,501 to 1000 Employees,2012,$100 to $500 million (USD),86,91
175,AFYA [NASD],Brazil,Education & Training Services,2.50B,-1,221.33K,37.60%,27.66%,3.5,1001 to 5000 Employees,2019,$100 to $500 million (USD),63,100
176,AG [NYSE],Canada,Silver,4.07B,66.67,4.30M,250.00%,16.70%,3.8,1001 to 5000 Employees,2002,$100 to $500 million (USD),78,83
179,AGCO [NYSE],USA,Farm & Heavy Construction Machinery,9.18B,-1,674.06K,320.70%,11.09%,3.8,10000+ Employees,1990,$5 to $10 billion (USD),77,87
183,AGEN [NASD],USA,Biotechnology,1.16B,-1,5.37M,32.10%,19.49%,3.4,201 to 500 Employees,1996,$10 to $25 million (USD),57,68
184,AGFS [NASD],USA,Farm Products,112.17M,-1,122.36K,20.40%,20.90%,3.4,201 to 500 Employees,1996,$100 to $500 million (USD),30,41
185,AGFY [NASD],USA,Specialty Business Services,196.22M,-1,287.57K,-344.00%,68.70%,1,1 to 50 Employees,1996,$100 to $500 million (USD),0,100
190,AGI [NYSE],Canada,Gold,3.06B,14.73,2.43M,53.80%,55.00%,3.8,501 to 1000 Employees,1996,$500 million to $1 billion (USD),71,87
191,AGIO [NASD],USA,Biotechnology,3.84B,25.13,634.74K,30.80%,125.10%,3.9,201 to 500 Employees,2008,$50 to $100 million (USD),66,70
192,AGL [NYSE],USA,Medical Care Facilities,17.00B,-1,1.10M,-44.80%,0.00%,2.6,201 to 500 Employees,2016,$100 to $500 million (USD),31,31
193,AGLE [NASD],USA,Biotechnology,312.86M,-1,161.23K,38.10%,10.70%,3.2,51 to 200 Employees,2013,$5 to $10 million (USD),45,71
194,AGM [NYSE],USA,Credit Services,1.01B,-1,44.27K,178.10%,8.52%,4.7,51 to 200 Employees,1996,$100 to $500 million (USD),100,100
197,AGO [NYSE],Bermuda,Insurance - Specialty,3.37B,-1,563.92K,4.40%,14.57%,4.2,51 to 200 Employees,2001,$1 to $2 billion (USD),74,100
200,AGR [NYSE],USA,Utilities - Regulated Electric,15.86B,23.5,505.65K,45.20%,2.93%,3.3,5001 to 10000 Employees,2015,$2 to $5 billion (USD),52,94
201,AGRO [NYSE],Luxembourg,Farm Products,1.25B,20.85,1.09M,153.30%,19.49%,3.9,1001 to 5000 Employees,2002,$500 million to $1 billion (USD),81,100
203,AGS [NYSE],USA,Gambling,340.58M,9.78,285.78K,620.50%,70.10%,4.3,501 to 1000 Employees,1996,$100 to $500 million (USD),83,94
205,AGTC [NASD],USA,Biotechnology,190.30M,-1,1.23M,12.00%,19.90%,4.4,51 to 200 Employees,1999,Less than $1 million (USD),100,100
206,AGTI [NYSE],USA,Health Information Services,3.16B,-1,769.70K,36.30%,47.56%,3.3,1001 to 5000 Employees,1939,$500 million to $1 billion (USD),60,87
208,AGYS [NASD],USA,Software - Application,1.26B,-1,131.30K,31.40%,30.50%,3.5,1001 to 5000 Employees,1963,$100 to $500 million (USD),66,75
214,AHCO [NASD],USA,Medical Devices,3.64B,-1,1.42M,-225.50%,85.42%,2.4,1001 to 5000 Employees,1996,$100 to $500 million (USD),27,39
215,AHH [NYSE],USA,REIT - Diversified,1.11B,-1,246.04K,125.20%,-14.81%,3.7,51 to 200 Employees,1979,$25 to $50 million (USD),63,100
216,AHPI [NASD],USA,Medical Devices,15.87M,-1,228.92K,-42.90%,0.00%,2,201 to 500 Employees,1979,$25 to $50 million (USD),19,31
217,AHT [NYSE],USA,REIT - Hotel & Motel,762.48M,-1,29.11M,100.20%,99.40%,3.6,1001 to 5000 Employees,1996,$100 to $500 million (USD),85,80
218,AI [NYSE],USA,Information Technology Services,5.73B,-1,3.84M,400.20%,12.20%,4.5,501 to 1000 Employees,2009,$100 to $500 million (USD),88,93
222,"AIG [NYSE, S&P 500]",USA,Insurance - Diversified,39.86B,31.82,4.04M,435.20%,14.58%,3.6,10000+ Employees,1919,$10+ billion (USD),65,84
227,AIMC [NASD],USA,Specialty Industrial Machinery,3.81B,3.19,319.00K,100.80%,14.64%,3.3,10000+ Employees,2004,$1 to $2 billion (USD),59,80
228,AIN [NYSE],USA,Textile Manufacturing,2.80B,-1,105.25K,26.70%,15.25%,4.3,1001 to 5000 Employees,1895,$500 million to $1 billion (USD),87,100
229,AINC [AMEX],USA,Asset Management,59.05M,-1,38.79K,825.30%,96.21%,3.6,1001 to 5000 Employees,1996,$100 to $500 million (USD),85,80
230,AINV [NASD],USA,Asset Management,868.46M,7.9,350.07K,199.30%,-1.52%,3.3,1001 to 5000 Employees,1990,$1 to $2 billion (USD),55,100
233,AIR [NYSE],USA,Aerospace & Defense,1.35B,-1,309.12K,70.50%,72.06%,3.4,1001 to 5000 Employees,1951,$1 to $2 billion (USD),59,91
234,AIRC [NYSE],USA,REIT - Residential,7.37B,-1,715.34K,320.65%,44.89%,5,501 to 1000 Employees,2020,$1 to $2 billion (USD),100,100
235,AIRG [NASD],USA,Communication Equipment,223.13M,-1,86.23K,470.50%,157.40%,4,51 to 200 Employees,1996,$25 to $50 million (USD),100,100
236,AIRI [AMEX],USA,Aerospace & Defense,38.43M,-1,569.23K,-140.10%,100.00%,1.7,201 to 500 Employees,1968,$50 to $100 million (USD),19,0
238,AIRT [NASD],USA,Integrated Freight & Logistics,64.62M,-1,9.32K,-119.10%,0.00%,4.1,501 to 1000 Employees,1980,$100 to $500 million (USD),78,93
239,AIT [NYSE],USA,Industrial Distribution,3.29B,107.96,153.29K,85.70%,13.24%,3.3,5001 to 10000 Employees,1923,$2 to $5 billion (USD),63,65
240,AIV [NYSE],USA,REIT - Residential,1.08B,124.83,3.24M,435.20%,165.00%,3.7,501 to 1000 Employees,1997,$100 to $500 million (USD),72,100
241,"AIZ [NYSE, S&P 500]",USA,Insurance - Specialty,9.09B,27.85,356.80K,14.70%,17.79%,3.6,10000+ Employees,1978,$5 to $10 billion (USD),65,81
243,"AJG [NYSE, S&P 500]",USA,Insurance Brokers,28.13B,12.58,1.14M,19.40%,5.85%,3.6,10000+ Employees,1927,$2 to $5 billion (USD),65,89
244,AJRD [NYSE],USA,Aerospace & Defense,3.85B,-1,656.43K,435.20%,11.09%,3.7,1001 to 5000 Employees,1942,$100 to $500 million (USD),72,58
246,"AKAM [NASD, S&P 500]",USA,Software - Infrastructure,18.78B,31.74,1.43M,16.10%,9.66%,4.4,5001 to 10000 Employees,1998,$2 to $5 billion (USD),92,98
247,AKBA [NASD],USA,Biotechnology,592.41M,25.51,3.59M,435.20%,37.50%,4.3,201 to 500 Employees,2007,$100 to $500 million (USD),87,99
251,AKO-B [NYSE],Chile,Beverages - Non-Alcoholic,2.12B,-1,29.87K,435.20%,10.08%,3.9,10000+ Employees,1946,$2 to $5 billion (USD),82,100
252,AKR [NYSE],USA,REIT - Retail,1.83B,13.35,637.83K,435.20%,400.00%,3.5,51 to 200 Employees,1998,$100 to $500 million (USD),45,65
254,AKTS [NASD],USA,Communication Equipment,520.77M,405.19,582.58K,435.20%,30.70%,3.5,1 to 50 Employees,1996,$100 to $500 million (USD),66,76
256,AKUS [NASD],USA,Biotechnology,467.28M,-1,159.94K,25.20%,7.10%,4.5,1 to 50 Employees,1996,$100 to $500 million (USD),100,100
258,AL [NYSE],USA,Rental & Leasing Services,4.78B,-1,729.73K,-13.60%,37.16%,1.6,51 to 200 Employees,1996,$1 to $2 billion (USD),0,100
260,"ALB [NYSE, S&P 500]",USA,Specialty Chemicals,18.18B,47.07,987.27K,435.20%,41.06%,3.8,5001 to 10000 Employees,1994,$2 to $5 billion (USD),74,85
262,ALC [NYSE],Switzerland,Medical Instruments & Supplies,35.10B,-1,790.89K,85.60%,19.20%,3.9,10000+ Employees,1945,$5 to $10 billion (USD),78,87
263,ALCO [NASD],USA,Farm Products,255.19M,-1,34.67K,-37.50%,304.65%,3.1,201 to 500 Employees,1996,$100 to $500 million (USD),62,100
265,ALE [NYSE],USA,Utilities - Diversified,3.45B,30.54,262.35K,435.20%,21.49%,4.5,1001 to 5000 Employees,1906,$1 to $2 billion (USD),86,100
266,ALEC [NASD],USA,Biotechnology,1.68B,9.06,665.07K,435.20%,8.90%,4.5,51 to 200 Employees,2013,$100 to $500 million (USD),100,100
267,ALEX [NYSE],USA,REIT - Diversified,1.35B,19.43,329.51K,117.90%,44.44%,3.6,501 to 1000 Employees,1870,$100 to $500 million (USD),65,100
270,ALG [NYSE],USA,Farm & Heavy Construction Machinery,1.70B,28.78,33.12K,435.20%,20.62%,3.4,1001 to 5000 Employees,1969,$1 to $2 billion (USD),53,66
271,ALGM [NASD],USA,Semiconductors,5.02B,17.01,681.74K,435.20%,26.53%,3.6,1001 to 5000 Employees,1990,$500 million to $1 billion (USD),62,54
272,"ALGN [NASD, S&P 500]",USA,Medical Devices,47.66B,279.47,562.56K,305.50%,21.73%,4.4,10000+ Employees,1997,$1 to $2 billion (USD),86,98
274,ALGT [NASD],USA,Airlines,3.39B,104.61,187.88K,435.20%,316.52%,4.3,1001 to 5000 Employees,1997,$1 to $2 billion (USD),91,96
275,ALHC [NASD],USA,Healthcare Plans,5.03B,47.35,503.34K,48.70%,28.90%,3.4,501 to 1000 Employees,2013,$100 to $500 million (USD),53,82
276,ALIM [NASD],USA,Drug Manufacturers - Specialty & Generic,66.22M,-1,43.05K,52.30%,-273.70%,4,51 to 200 Employees,2003,$1 to $5 million (USD),70,100
277,ALJJ [NASD],USA,Specialty Business Services,62.83M,-1,131.05K,435.20%,0.00%,4.6,1001 to 5000 Employees,1994,$100 to $500 million (USD),100,100
278,"ALK [NYSE, S&P 500]",USA,Airlines,7.81B,-1,1.48M,435.20%,256.40%,4,10000+ Employees,1932,$5 to $10 billion (USD),79,100
279,ALKS [NASD],Ireland,Biotechnology,3.94B,12.25,1.64M,44.20%,84.39%,3.8,1001 to 5000 Employees,1987,$500 million to $1 billion (USD),72,85
280,ALKT [NASD],USA,Software - Application,2.98B,-1,358.50K,435.20%,0.00%,3.9,501 to 1000 Employees,2009,$50 to $100 million (USD),73,88
281,"ALL [NYSE, S&P 500]",USA,Insurance - Property & Casualty,37.04B,-1,2.01M,23.40%,13.57%,3.5,10000+ Employees,1931,$10+ billion (USD),56,62
282,"ALLE [NYSE, S&P 500]",Ireland,Security & Protection Services,12.11B,5.22,682.75K,85.70%,9.09%,3.8,10000+ Employees,2013,$2 to $5 billion (USD),72,93
283,ALLK [NASD],USA,Biotechnology,4.84B,9.41,197.72K,65.14%,19.49%,5,51 to 200 Employees,1996,$100 to $500 million (USD),100,100
284,ALLO [NASD],USA,Biotechnology,3.42B,29.44,1.15M,85.70%,-31.80%,4.6,51 to 200 Employees,1996,$100 to $500 million (USD),100,100
285,ALLT [NASD],Israel,Communication Equipment,719.83M,23.67,219.84K,85.70%,47.60%,4.4,501 to 1000 Employees,1996,$100 to $500 million (USD),91,91
286,ALLY [NYSE],USA,Credit Services,18.08B,-1,3.89M,34.12%,4.70%,4.2,5001 to 10000 Employees,1919,$5 to $10 billion (USD),83,92
287,ALNA [NASD],USA,Biotechnology,71.50M,-1,653.11K,-52.70%,-21.20%,2.8,51 to 200 Employees,1996,$100 to $500 million (USD),61,61
288,ALNY [NASD],USA,Biotechnology,20.57B,-1,518.34K,8.00%,44.10%,4.4,1001 to 5000 Employees,2003,$100 to $500 million (USD),89,93
289,ALOT [NASD],USA,Computer Hardware,105.06M,-1,29.30K,85.70%,0.00%,3.3,201 to 500 Employees,1969,$50 to $100 million (USD),58,69
291,ALRM [NASD],USA,Software - Application,4.07B,-1,301.14K,43.50%,13.84%,3.4,10000+ Employees,1858,$10+ billion (USD),55,67
292,ALRN [NASD],USA,Biotechnology,107.57M,50.82,862.26K,49.30%,-12.50%,4,1 to 50 Employees,1996,$5 to $10 million (USD),100,100
293,ALRS [NASD],USA,Banks - Regional,562.77M,43.45,29.51K,48.60%,4.70%,4.2,501 to 1000 Employees,1879,$100 to $500 million (USD),84,91
294,ALSK [NASD],USA,Telecom Services,179.15M,-1,289.47K,85.70%,0.00%,3.9,501 to 1000 Employees,1998,$100 to $500 million (USD),79,100
295,ALSN [NYSE],USA,Auto Parts,4.18B,-1,930.61K,85.70%,24.40%,3.6,1001 to 5000 Employees,1915,$2 to $5 billion (USD),60,65
296,ALT [NASD],USA,Biotechnology,601.17M,10.85,1.42M,85.70%,6.10%,3,1 to 50 Employees,1996,Less than $1 million (USD),0,100
297,ALTA [NASD],USA,Banks - Regional,778.18M,18.13,90.90K,85.70%,7.77%,3.4,201 to 500 Employees,1913,$50 to $100 million (USD),63,0
298,ALTG [NYSE],USA,Rental & Leasing Services,438.26M,-1,108.06K,108.90%,534.94%,3.7,501 to 1000 Employees,1984,$100 to $500 million (USD),80,92
302,ALTR [NASD],USA,Software - Infrastructure,4.83B,20.94,277.33K,-36.00%,23.71%,4.2,1001 to 5000 Employees,1985,$100 to $500 million (USD),84,93
307,ALV [NYSE],Sweden,Auto Parts,8.30B,-1,412.08K,85.70%,25.32%,3.7,10000+ Employees,1996,$5 to $10 billion (USD),76,90
