,share_name_index,company_name,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,rating_count,Headquarters,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO
35,ABCB [NASD],Ameris Bancorp,USA,Banks - Regional,3.47B,20.25,449.62K,37.00%,-19.49%,3.1,,"Moultrie, GA",1001 to 5000 Employees,1971,$100 to $500 million (USD),42,49
36,ABCL [NASD],AbCellera Biologics Inc.,Canada,Biotechnology,6.03B,39.94,1.37M,415.00%,-100.00%,4.8,,"Vancouver, Canada",51 to 200 Employees,null,Unknown / Non-Applicable,100,-1
37,ABCM [NASD],Abcam plc,United Kingdom,Biotechnology,4.26B,8.13,214.63K,-,-,4.5,,"Cambridge, United Kingdom",1001 to 5000 Employees,1998,$100 to $500 million (USD),95,98
38,ABEO [NASD],Abeona Therapeutics Inc.,USA,Biotechnology,171.12M,-,1.59M,40.00%,10.30%,3.7,,"New York, NY",51 to 200 Employees,2013,Unknown / Non-Applicable,-1,-1
39,ABEQ [NYSE],Absolute Core Strategy ETF,USA,Exchange Traded Fund,-,10.83,6.06K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
40,ABEV [NYSE],Ambev S.A.,Brazil,Beverages - Brewers,58.08B,22.92,21.88M,-7.10%,7.70%,4.2,,"São Paulo, Brazil",10000+ Employees,1999,$10+ billion (USD),87,74
41,ABG [NYSE],"Asbury Automotive Group, Inc.",USA,Auto & Truck Dealerships,3.03B,26.36,167.12K,38.00%,-1.62%,3.7,,"Duluth, GA",5001 to 10000 Employees,1995,$5 to $10 billion (USD),61,65
42,ABGI [NASD],ABG Acquisition Corp. I,USA,Shell Companies,191.77M,9.34,17.67K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
43,ABIO [NASD],"ARCA biopharma, Inc.",USA,Biotechnology,52.20M,9.4,316.46K,50.20%,-,2.5,,"Broomfield, CO",1 to 50 Employees,null,$1 to $5 million (USD),100,100
44,ABM [NYSE],ABM Industries Incorporated,USA,Specialty Business Services,2.95B,-,421.69K,-99.80%,-3.06%,3.1,,"New York, NY",10000+ Employees,1909,$5 to $10 billion (USD),44,51
45,"ABMD [NASD, S&P 500]","Abiomed, Inc.",USA,Medical Devices,14.38B,-,269.20K,11.40%,19.70%,3.5,,"Danvers, MA",1001 to 5000 Employees,1981,$100 to $500 million (USD),65,78
46,ABNB [NASD],"Airbnb, Inc.",USA,Internet Content & Information,91.33B,-,7.26M,87.10%,93.00%,4.2,,"San Francisco, CA",5001 to 10000 Employees,2008,Unknown / Non-Applicable,85,88
47,ABR [NYSE],"Arbor Realty Trust, Inc.",USA,REIT - Mortgage,2.32B,-,1.55M,-4.00%,1.05%,3.6,,"Uniondale, NY",201 to 500 Employees,1993,$100 to $500 million (USD),68,73
48,ABST [NASD],Absolute Software Corporation,Canada,Software - Application,709.98M,14.12,103.98K,-,-,3.9,,"Vancouver, Canada",501 to 1000 Employees,1993,$100 to $500 million (USD),77,93
49,"ABT [NYSE, S&P 500]",Abbott Laboratories,USA,Medical Devices,196.46B,13.71,6.14M,24.50%,6.72%,3.9,,"Abbott Park, IL",10000+ Employees,1888,$10+ billion (USD),72,92
50,ABTX [NASD],"Allegiance Bancshares, Inc.",USA,Banks - Regional,778.65M,13.13,55.38K,-10.30%,-20.12%,4.6,,"Houston, TX",501 to 1000 Employees,2007,$5 to $10 billion (USD),84,100
51,ABUS [NASD],Arbutus Biopharma Corporation,USA,Biotechnology,317.07M,13.93,1.29M,65.40%,14.60%,3.1,,"Burnaby, Canada",51 to 200 Employees,null,$10 to $25 million (USD),47,18
52,AC [NYSE],"Associated Capital Group, Inc.",USA,Capital Markets,824.73M,-,16.80K,-52.30%,-,2.2,,"Chicago, IL",1 to 50 Employees,1978,$1 to $5 million (USD),28,43
53,ACA [NYSE],"Arcosa, Inc.",USA,Infrastructure Operations,2.66B,-,259.55K,-5.90%,28.53%,3.3,,"Dallas, TX",5001 to 10000 Employees,null,Unknown / Non-Applicable,44,66
54,ACACU [NASD],Acies Acquisition Corp.,USA,Shell Companies,-,7.48,4.59K,-,-,-1,,"Manhattan Beach, CA",Unknown,null,Unknown / Non-Applicable,-1,-1
55,ACAD [NASD],ACADIA Pharmaceuticals Inc.,USA,Biotechnology,4.15B,-,2.06M,-12.00%,37.10%,4.5,,"San Diego, CA",501 to 1000 Employees,1993,$100 to $500 million (USD),90,88
56,ACAHU [NASD],Atlantic Coastal Acquisition Corp.,USA,Shell Companies,-,30.13,170.85K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
57,ACB [NASD],Aurora Cannabis Inc.,Canada,Drug Manufacturers - Specialty & Generic,1.73B,21.99,7.36M,-,-,2.9,,"Edmonton, Canada",1001 to 5000 Employees,null,Unknown / Non-Applicable,38,28
58,ACBAU [NASD],Ace Global Business Acquisition Limited,Hong Kong,Shell Companies,-,-,24.88K,-,-,-1,,"Wilmington, DE",Unknown,null,Unknown / Non-Applicable,-1,-1
59,ACBI [NASD],"Atlantic Capital Bancshares, Inc.",USA,Banks - Regional,508.28M,-,64.60K,-12.30%,-2.90%,-1,-1,-1,-1,-1,-1,-1,-1
60,ACC [NYSE],"American Campus Communities, Inc.",USA,REIT - Residential,6.60B,1330.56,866.71K,-15.20%,345.00%,3.8,,"Austin, TX",1001 to 5000 Employees,1993,$500 million to $1 billion (USD),76,88
61,ACCD [NASD],"Accolade, Inc.",USA,Health Information Services,3.07B,107.64,791.28K,9.10%,10.00%,3.4,,"Plymouth Meeting, PA",1001 to 5000 Employees,2007,$50 to $100 million (USD),57,76
62,ACCO [NYSE],ACCO Brands Corporation,USA,Business Equipment & Supplies,783.11M,-,524.47K,-39.00%,23.11%,3.5,,"Lake Zurich, IL",5001 to 10000 Employees,1903,$1 to $2 billion (USD),76,75
63,ACEL [NYSE],"Accel Entertainment, Inc.",USA,Gambling,1.11B,-,246.09K,-177.70%,25.98%,3.7,,"Burr Ridge, IL",501 to 1000 Employees,2009,Unknown / Non-Applicable,70,83
64,ACER [NASD],Acer Therapeutics Inc.,USA,Biotechnology,40.49M,23.71,293.53K,29.40%,-27.70%,5,,"Newton, MA",1 to 50 Employees,null,Unknown / Non-Applicable,100,-1
65,ACES [NYSE],ALPS Clean Energy ETF,USA,Exchange Traded Fund,-,5.53,107.91K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
66,ACET [NASD],"Adicet Bio, Inc.",USA,Biotechnology,339.91M,-,114.98K,70.30%,-8.40%,3.1,,"Menlo Park, CA",1 to 50 Employees,null,Less than $1 million (USD),55,80
67,ACEV [NASD],ACE Convergence Acquisition Corp.,USA,Shell Companies,285.23M,14.9,335.00K,-,-,-1,,"Wilmington, DE",Unknown,null,Unknown / Non-Applicable,-1,-1
68,ACEVU [NASD],ACE Convergence Acquisition Corp.,USA,Shell Companies,-,-,1.45K,-,-,-1,,"Wilmington, DE",Unknown,null,Unknown / Non-Applicable,-1,-1
69,ACGL [NASD],Arch Capital Group Ltd.,Bermuda,Insurance - Diversified,14.88B,-,1.62M,-14.20%,28.89%,3.7,,"Hamilton, Bermuda",1001 to 5000 Employees,2000,$10+ billion (USD),56,89
70,ACH [NYSE],Aluminum Corporation of China Limited,China,Aluminum,11.49B,117.91,170.37K,-24.30%,-,4.4,,"Beijing, China",10000+ Employees,null,$10+ billion (USD),100,100
71,ACHC [NASD],"Acadia Healthcare Company, Inc.",USA,Medical Care Facilities,5.47B,-,439.54K,169.00%,14.32%,2.9,,"Franklin, TN",10000+ Employees,2005,$2 to $5 billion (USD),46,43
72,ACHL [NASD],Achilles Therapeutics plc,United Kingdom,Biotechnology,471.76M,37.63,100.15K,-137.30%,-,3.9,,"London, United Kingdom",201 to 500 Employees,2016,Unknown / Non-Applicable,66,100
73,ACHV [NASD],"Achieve Life Sciences, Inc.",Canada,Biotechnology,69.33M,21.97,124.50K,86.40%,29.50%,5,,"Seattle, WA",1 to 50 Employees,null,Unknown / Non-Applicable,100,-1
74,ACI [NYSE],"Albertsons Companies, Inc.",USA,Grocery Stores,9.30B,-,1.60M,83.00%,3.04%,3.4,,"Boise, ID",10000+ Employees,1939,$10+ billion (USD),56,74
75,ACIC [NYSE],Atlas Crest Investment Corp.,USA,Shell Companies,631.15M,-,1.23M,-,-,-1,-1,-1,-1,-1,-1,-1,-1
76,ACII [NYSE],Atlas Crest Investment Corp. II,USA,Shell Companies,420.50M,-,95.68K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
77,ACIO [AMEX],Aptus Collared Income Opportunity ETF,USA,Exchange Traded Fund,-,-,24.68K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
78,ACIU [NASD],AC Immune SA,Switzerland,Biotechnology,540.83M,13.5,467.84K,-234.80%,87.10%,3,,"Lausanne, Switzerland",1 to 50 Employees,null,Unknown / Non-Applicable,35,35
79,ACIW [NASD],"ACI Worldwide, Inc.",USA,Software - Infrastructure,4.38B,9.59,572.15K,8.80%,10.96%,3.7,,"Elkhorn, NE",1001 to 5000 Employees,1975,$1 to $2 billion (USD),69,78
80,ACKIT [NASD],Ackrell SPAC Partners I Co.,USA,Shell Companies,-,-,33.36K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
81,ACKIU [NASD],Ackrell SPAC Partners I Co.,USA,Shell Companies,264.93M,-,12.78K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
82,ACLS [NASD],"Axcelis Technologies, Inc.",USA,Semiconductor Equipment & Materials,1.28B,-,301.68K,190.80%,32.31%,3.8,,"Beverly, MA",501 to 1000 Employees,1995,$100 to $500 million (USD),77,75
83,ACM [NYSE],AECOM,USA,Engineering & Construction,8.66B,-,870.50K,-19.60%,17.00%,3.6,,"Los Angeles, CA",10000+ Employees,1990,$10+ billion (USD),66,75
84,ACMR [NASD],"ACM Research, Inc.",USA,Semiconductor Equipment & Materials,1.83B,23.89,289.32K,-10.20%,57.31%,5,,"Fremont, CA",Unknown,1998,Unknown / Non-Applicable,100,-1
85,"ACN [NYSE, S&P 500]",Accenture plc,Ireland,Information Technology Services,186.37B,14.94,1.95M,7.30%,10.80%,4,,"Dublin, Ireland",10000+ Employees,1989,$10+ billion (USD),82,91
86,ACNB [NASD],ACNB Corporation,USA,Banks - Regional,240.66M,35.34,21.24K,-36.60%,-,2,,"Gettysburg, PA",201 to 500 Employees,1983,$50 to $100 million (USD),0,0
87,ACND [NYSE],Ascendant Digital Acquisition Corp.,USA,Shell Companies,412.34M,18.33,398.20K,-,-,-1,,"New York, NY",Unknown,null,Unknown / Non-Applicable,-1,-1
88,ACOR [NASD],"Acorda Therapeutics, Inc.",USA,Biotechnology,41.83M,96.63,237.34K,64.30%,39.10%,3.9,,"Hawthorne, NY",201 to 500 Employees,1995,$100 to $500 million (USD),61,56
89,ACP [NYSE],Aberdeen Income Credit Strategies Fund,USA,Closed-End Fund - Debt,195.27M,46.1,195.53K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
90,ACQR [NASD],Independence Holdings Corp.,USA,Shell Companies,610.61M,-,9.65K,-,-,3.6,,"Oak Brook, IL",201 to 500 Employees,1987,Unknown / Non-Applicable,71,76
91,ACQRU [NASD],Independence Holdings Corp.,USA,Shell Companies,-,-,215.53K,-,-,3.6,,"Oak Brook, IL",201 to 500 Employees,1987,Unknown / Non-Applicable,71,76
92,ACR [NYSE],ACRES Commercial Realty Corp.,USA,REIT - Mortgage,158.12M,-,51.99K,-888.90%,70.81%,-1,-1,-1,-1,-1,-1,-1,-1
93,ACRE [NYSE],Ares Commercial Real Estate Corporation,USA,REIT - Mortgage,580.02M,-,493.18K,-48.70%,2.67%,3.2,,"Chicago, IL",501 to 1000 Employees,null,$50 to $100 million (USD),50,-1
94,ACRS [NASD],"Aclaris Therapeutics, Inc.",USA,Biotechnology,1.02B,202.62,714.07K,56.20%,4.10%,4,,"Wayne, PA",51 to 200 Employees,2012,$1 to $5 million (USD),56,100
95,ACRX [NASD],"AcelRx Pharmaceuticals, Inc.",USA,Drug Manufacturers - Specialty & Generic,162.28M,12.38,1.91M,29.60%,133.30%,3,,"Redwood City, CA",1 to 50 Employees,null,$10 to $25 million (USD),100,-1
96,ACST [NASD],Acasti Pharma Inc.,Canada,Biotechnology,101.04M,8.93,12.19M,30.30%,34.00%,-1,-1,-1,-1,-1,-1,-1,-1
97,ACTC [NASD],ArcLight Clean Transition Corp.,USA,Shell Companies,618.32M,9.89,829.94K,-,-,-1,,"Boston, MA",Unknown,null,Unknown / Non-Applicable,-1,-1
98,ACTCU [NASD],ArcLight Clean Transition Corp.,USA,Shell Companies,-,-,5.11K,-,-,-1,,"Boston, MA",Unknown,null,Unknown / Non-Applicable,-1,-1
99,ACTDU [NASD],ArcLight Clean Transition Corp. II,USA,Shell Companies,-,-,188.83K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
100,ACTG [NASD],Acacia Research Corporation,USA,Specialty Business Services,293.63M,3.96,608.45K,549.20%,89.50%,-1,,"Newport Beach, CA",1 to 50 Employees,null,$100 to $500 million (USD),-1,-1
101,ACU [AMEX],Acme United Corporation,USA,Household & Personal Products,145.75M,17.03,26.18K,9.10%,12.70%,2.4,,"Fairfield, CT",201 to 500 Employees,1867,$100 to $500 million (USD),36,32
102,ACV [NYSE],AllianzGI Diversified Income & Convertible Fund,USA,Asset Management,344.33M,17.73,40.93K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
103,ACVA [NASD],ACV Auctions Inc.,USA,Software - Application,3.67B,15.36,911.22K,46.90%,20.30%,3.6,,"Buffalo, NY",1001 to 5000 Employees,2014,Unknown / Non-Applicable,65,78
104,ACWF [NYSE],iShares MSCI Global Multifactor ETF,USA,Exchange Traded Fund,-,-,10.96K,-,-,4.1,,"New York, NY",10000+ Employees,1988,$10+ billion (USD),83,96
105,ACWI [NASD],iShares MSCI ACWI ETF,USA,Exchange Traded Fund,-,-,3.07M,-,-,-1,-1,-1,-1,-1,-1,-1,-1
106,ACWV [AMEX],iShares MSCI Global Min Vol Factor ETF,USA,Exchange Traded Fund,-,-,214.98K,-,-,4.1,,"New York, NY",10000+ Employees,1988,$10+ billion (USD),83,96
107,ACWX [NASD],iShares MSCI ACWI ex U.S. ETF,USA,Exchange Traded Fund,-,-,1.36M,-,-,4.1,,"New York, NY",10000+ Employees,1988,$10+ billion (USD),83,96
108,ACY [AMEX],AeroCentury Corp.,USA,Rental & Leasing Services,15.04M,-,4.18M,-153.60%,-,-1,,"Burlingame, CA",1 to 50 Employees,null,$25 to $50 million (USD),-1,-1
109,ADAG [NASD],Adagene Inc.,China,Biotechnology,618.24M,-,42.66K,-207.40%,-34.80%,2,,"Xinghu, China",51 to 200 Employees,null,Unknown / Non-Applicable,0,-1
110,"ADM [NYSE, S&P 500]",Archer-Daniels-Midland Company,USA,Farm Products,34.52B,16.51,2.61M,24.80%,-1.29%,4,,"Chicago, IL",10000+ Employees,1902,$10+ billion (USD),82,90
111,ADMA [NASD],"ADMA Biologics, Inc.",USA,Biotechnology,224.17M,13.64,6.96M,1.00%,45.60%,2.8,,"Boca Raton, FL",201 to 500 Employees,null,Unknown / Non-Applicable,43,40
112,ADME [AMEX],Aptus Drawdown Managed Equity ETF,USA,Exchange Traded Fund,-,-,20.82K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
113,ADMP [NASD],Adamis Pharmaceuticals Corporation,USA,Drug Manufacturers - Specialty & Generic,156.46M,-,8.12M,-23.30%,13.00%,1,,"San Diego, CA",51 to 200 Employees,null,$10 to $25 million (USD),0,0
114,ADMS [NASD],"Adamas Pharmaceuticals, Inc.",USA,Drug Manufacturers - Specialty & Generic,247.21M,-,352.06K,46.60%,72.80%,3.7,,"Emeryville, CA",51 to 200 Employees,2000,$25 to $50 million (USD),58,100
115,ADN [NASD],"Advent Technologies Holdings, Inc.",USA,Utilities - Renewable,441.40M,-,523.28K,-718.50%,-,-1,,"Boston, MA",1 to 50 Employees,null,Unknown / Non-Applicable,-1,-1
116,ADNT [NYSE],Adient plc,Ireland,Auto Parts,3.73B,-,813.88K,-11.20%,54.12%,3.5,,"Plymouth, MI",10000+ Employees,2016,Unknown / Non-Applicable,69,77
117,ADOC [NASD],Edoc Acquisition Corp.,USA,Shell Companies,119.16M,-,34.02K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
118,"ADP [NASD, S&P 500]","Automatic Data Processing, Inc.",USA,Staffing & Employment Services,82.25B,-,1.80M,8.50%,9.74%,4,,"Roseland, NJ",10000+ Employees,1949,$10+ billion (USD),78,93
119,ADPT [NASD],Adaptive Biotechnologies Corporation,USA,Biotechnology,5.42B,-,926.16K,-100.60%,-3.10%,3.7,,"Seattle, WA",501 to 1000 Employees,2009,Unknown / Non-Applicable,47,75
120,ADRE [NASD],Invesco BLDRS Emerging Markets 50 ADR Index Fund,USA,Exchange Traded Fund,-,-,18.66K,-,-,4,,"London, United Kingdom",10000+ Employees,1690,$10+ billion (USD),80,88
121,ADS [NYSE],Alliance Data Systems Corporation,USA,Credit Services,5.11B,-,829.16K,-41.20%,-5.11%,3.3,,"Columbus, OH",10000+ Employees,1996,$5 to $10 billion (USD),65,89
122,"ADSK [NASD, S&P 500]","Autodesk, Inc.",USA,Software - Application,61.16B,9.15,1.15M,440.10%,41.54%,4.2,,"San Rafael, CA",10000+ Employees,1982,$2 to $5 billion (USD),87,97
123,ADT [NYSE],ADT Inc.,USA,Security & Protection Services,8.85B,7.09,3.74M,-43.50%,19.94%,3.2,,"Boca Raton, FL",10000+ Employees,1874,$2 to $5 billion (USD),52,64
124,ADTN [NASD],"ADTRAN, Inc.",USA,Communication Equipment,951.17M,47.59,222.16K,104.40%,23.65%,3.7,,"Huntsville, AL",1001 to 5000 Employees,1985,$500 million to $1 billion (USD),71,76
125,ADTX [NASD],"ADiTx Therapeutics, Inc.",USA,Biotechnology,39.45M,40.11,260.54K,-120.20%,309.09%,-1,,"Mountain View, CA",Unknown,null,Unknown / Non-Applicable,-1,-1
126,ADUS [NASD],Addus HomeCare Corporation,USA,Medical Care Facilities,1.30B,-,92.19K,14.60%,13.57%,3.3,,"Frisco, TX",10000+ Employees,1972,$100 to $500 million (USD),58,57
127,ADV [NASD],Advantage Solutions Inc.,USA,Advertising Agencies,3.73B,12.76,432.68K,-390.90%,16.18%,3.6,,"Irvine, CA",10000+ Employees,1987,$2 to $5 billion (USD),68,79
128,ADVM [NASD],"Adverum Biotechnologies, Inc.",USA,Biotechnology,353.57M,73.99,2.70M,-37.20%,-7.20%,3.9,,"Redwood City, CA",51 to 200 Employees,2016,Less than $1 million (USD),84,88
129,ADX [NYSE],"Adams Diversified Equity Fund, Inc.",USA,Closed-End Fund - Equity,2.14B,31.18,167.58K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
130,ADXN [NASD],Addex Therapeutics Ltd,Switzerland,Biotechnology,74.44M,-,7.26K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
131,ADXS [NASD],"Advaxis, Inc.",USA,Biotechnology,64.55M,-,9.80M,60.30%,-,2.2,,"Princeton, NJ",51 to 200 Employees,null,$1 to $5 million (USD),11,-1
132,AE [AMEX],"Adams Resources & Energy, Inc.",USA,Oil & Gas Integrated,120.60M,-,15.11K,843.50%,13.82%,3,,"Houston, TX",501 to 1000 Employees,1973,$1 to $2 billion (USD),66,66
133,AEAC [NASD],Authentic Equity Acquisition Corp.,USA,Shell Companies,222.87M,-,65.03K,-,-,-1,,"Rye, NY",Unknown,null,Unknown / Non-Applicable,-1,-1
134,AEACU [NASD],Authentic Equity Acquisition Corp.,USA,Shell Companies,-,120.26,59.16K,-,-,-1,,"Rye, NY",Unknown,null,Unknown / Non-Applicable,-1,-1
135,"AEE [NYSE, S&P 500]",Ameren Corporation,USA,Utilities - Regulated Electric,21.00B,11.2,1.36M,4.50%,7.17%,4,,"Saint Louis, MO",5001 to 10000 Employees,1904,$5 to $10 billion (USD),90,99
136,AEF [NYSE],"Aberdeen Emerging Markets Equity Income Fund, Inc.",United Kingdom,Asset Management,455.75M,-,50.81K,-,-,-1,-1,-1,-1,-1,-1,-1,-1
137,AEG [NYSE],Aegon N.V.,Netherlands,Insurance - Diversified,8.80B,-,1.89M,-99.50%,2.59%,3.6,,"The Hague, Netherlands",10000+ Employees,1844,$10+ billion (USD),69,71
138,AEHL [NASD],Antelope Enterprise Holdings Limited,China,Building Products & Equipment,15.18M,-,1.34M,-,-,-1,-1,-1,-1,-1,-1,-1,-1
